fips_cntry,sat,year,count,sum,mean,stddev,min,max
RO,f10,1993,94393,666644,7.06243047683621,6.01198494476396,3,62
RP,f10,1993,42530,320345,7.53221255584293,8.92085055501633,3,63
RQ,f10,1993,10911,296110,27.1386673998717,17.696851511131,3,63
RS,f10,1993,2481815,28717265,11.5710739922194,11.1423433006273,3,63
RW,f10,1993,574,6693,11.6602787456446,10.8779060641476,4,58
SA,f10,1993,254193,2816469,11.0800415432368,13.7164663637504,3,63
SB,f10,1993,60,887,14.7833333333333,8.3827037536956,4,34
SC,f10,1993,309,2752,8.90614886731392,8.1990366308263,3,46
SE,f10,1993,238,2254,9.47058823529412,6.60127760668599,4,41
SF,f10,1993,154304,1668425,10.8125842492742,14.1183617592276,2,63
SG,f10,1993,3768,30581,8.11597664543524,10.3222534710848,3,63
SH,f10,1993,162,876,5.40740740740741,2.88580081864348,3,17
SI,f10,1993,19107,170523,8.92463495054169,7.51334701263177,4,62
SL,f10,1993,500,3918,7.836,6.40071121048279,4,41
SM,f10,1993,96,3502,36.4791666666667,12.7744693029582,14,59
SN,f10,1993,824,45698,55.4587378640777,14.1838054227732,6,63
SO,f10,1993,760,5797,7.62763157894737,7.19755255705955,4,51
SP,f10,1993,359451,3897992,10.8442931025369,12.6841909628093,2,63
ST,f10,1993,722,5893,8.16204986149585,8.68883769598726,3,54
SU,f10,1993,14762,144161,9.76568215688931,11.7419082146205,3,63
SV,f10,1993,0,0,0,0,0,0
SW,f10,1993,272356,3815185,14.0080813347237,11.1784805102886,4,63
SX,f10,1993,1797,7025,3.90929326655537,0.28719161191169,3,4
SY,f10,1993,80116,726647,9.06993609266564,10.3389370151837,3,63
SZ,f10,1993,37995,569972,15.0012370048691,11.5298121871614,3,63
TB,f10,1993,32,605,18.90625,7.53889653314727,4,33
TD,f10,1993,4960,70990,14.3125,14.8331012312697,3,63
TH,f10,1993,92210,958109,10.3905107905867,11.0502637916918,3,63
TI,f10,1993,14966,165760,11.0757717492984,7.95344295048109,4,61
TK,f10,1993,169,1255,7.42603550295858,4.62903458680534,3,22
TL,f10,1993,0,0,0,0,0,0
TN,f10,1993,403,2384,5.91563275434243,3.83827256225414,3,32
TO,f10,1993,1711,14430,8.43366452367037,10.0908850932796,4,62
TP,f10,1993,86,555,6.45348837209302,3.13144953709191,4,16
TS,f10,1993,45488,357869,7.86732764685192,9.97869952953124,2,63
TT,f10,1993,316,2050,6.4873417721519,5.4711410211276,4,35
